,user_id,views,level,kills,br_rank,br_mmr,ar_rank,ar_mmr,legend
905,aligamer_xd,2685 views,3313.0,34110.0,Apex Predator,16941.0,Bronze 4,0AP,Gibraltar
906,NIKITAMASTIFF,1684 views,1705.0,1623.0,Apex Predator,16412.0,Platinum 3,5200AP,Revenant
907,ExpensiveNinjja,977 views,2662.0,44120.0,Apex Predator,16411.0,Bronze 4,0AP,Octane
908,HqppyHalloween,348 views,1728.0,19053.0,Apex Predator,17110.0,Bronze 4,0AP,Wraith
909,Kris-katalina,291 views,2232.0,14403.0,Apex Predator,17289.0,Bronze 4,0AP,Wraith
910,Aydaaaaaaaaaaan-,76 views,471.0,2665.0,Apex Predator,16477.0,Bronze 2,1019AP,Bloodhound
911,jaycracra,1986 views,1832.0,55.0,Apex Predator,16400.0,Bronze 4,0AP,Octane
912,Zahorfps,1838 views,2358.0,55488.0,Apex Predator,16388.0,Bronze 4,0AP,Horizon
913,vSlayder_,2649 views,3135.0,31227.0,Apex Predator,16666.0,Bronze 4,392AP,Wraith
914,NobIeDreams,2931 views,3083.0,57905.0,Apex Predator,16325.0,Platinum 4,4800AP,Bangalore
915,NS-Lilio666,1793 views,3313.0,252.0,Apex Predator,16381.0,Bronze 4,0AP,Seer
916,zmuulaa,4285 views,3525.0,526.0,Apex Predator,16381.0,Bronze 4,0AP,Seer
917,lnhumed,2520 views,2531.0,38221.0,Apex Predator,16372.0,Bronze 4,0AP,Wraith
918,yaIdyyy,2063 views,451.0,7032.0,Apex Predator,16372.0,Bronze 4,0AP,Loba
919,TryhardThor,104 views,1369.0,9050.0,Apex Predator,16371.0,Bronze 4,0AP,Wraith
920,Jn_OYO,1741 views,2251.0,7920.0,Apex Predator,17209.0,Bronze 4,0AP,Wraith
921,Acryii_,518 views,655.0,4931.0,Apex Predator,16955.0,Bronze 4,0AP,Octane
922,FA_inkya,1213 views,1797.0,24151.0,Apex Predator,16289.0,Bronze 4,0AP,Wraith
923,Biiit_CoiiN,69 views,1140.0,8295.0,Apex Predator,16433.0,Platinum 1,6290AP,Pathfinder
924,nogibingo464646,318 views,1421.0,9749.0,Apex Predator,16680.0,Platinum 4,4919AP,Valkyrie
925,North_Cheesy,577 views,1841.0,1919.0,Apex Predator,17905.0,Bronze 4,126AP,Caustic
926,Ajaxi7,871 views,1421.0,10387.0,Apex Predator,16347.0,Gold 2,4084AP,Wraith
927,rkrayzz,327 views,2007.0,41998.0,Apex Predator,16346.0,Bronze 4,0AP,Wraith
928,shughli,678 views,2193.0,43724.0,Apex Predator,16531.0,Bronze 4,0AP,Pathfinder
929,Green_For_Sale,469 views,1281.0,14224.0,Apex Predator,16718.0,Bronze 4,0AP,Bangalore
930,Rykaa78,5045 views,1606.0,9163.0,Apex Predator,16334.0,Bronze 4,0AP,Octane
931,itzYanzz_,3733 views,1572.0,2287.0,Apex Predator,16334.0,Silver 4,1638AP,Horizon
932,podurban2,385 views,1821.0,2766.0,Apex Predator,16425.0,Bronze 4,0AP,Bangalore
933,Touma-Kazusa3150,1176 views,2395.0,26810.0,Apex Predator,17877.0,Bronze 4,0AP,Gibraltar
934,jabwehtv,1137 views,2362.0,118.0,Apex Predator,16329.0,Diamond 2,7450AP,Lifeline
935,The2TONEPREDATOR,1187 views,1366.0,16450.0,Apex Predator,17509.0,Bronze 4,0AP,Octane
936,Mar9aRet,2701 views,2715.0,113.0,Apex Predator,16650.0,Bronze 4,0AP,Wraith
937,GangnamKing,3534 views,4161.0,89381.0,Apex Predator,16572.0,Platinum 3,5570AP,Wraith
938,amaxebi_ore,88 views,1786.0,8345.0,Apex Predator,16306.0,Bronze 4,0AP,Horizon
939,DJ_MUG1,1886 views,2065.0,20.0,Apex Predator,16271.0,Bronze 4,0AP,Wraith
940,Rognitem,60 views,782.0,4339.0,Apex Predator,16420.0,Bronze 2,1164AP,Wraith
941,54Classicnone,178 views,1553.0,9278.0,Apex Predator,16600.0,Diamond 2,7536AP,Wraith
942,neriri_,1074 views,2052.0,202.0,Apex Predator,16203.0,Bronze 4,109AP,Horizon
943,zLineyTv,1510 views,3022.0,38885.0,Apex Predator,16277.0,Silver 4,1739AP,Bloodhound
944,GoddessMiikasa--,1342 views,1357.0,38967.0,Apex Predator,16272.0,Diamond 4,6739AP,Bangalore
945,streetgothic,3940 views,1954.0,23150.0,Apex Predator,16271.0,Bronze 4,0AP,Wraith
946,etherqx,934 views,1724.0,13911.0,Apex Predator,16648.0,Bronze 4,0AP,Wraith
947,XtN-Sauvage,2881 views,1881.0,636.0,Apex Predator,16254.0,Bronze 4,0AP,Octane
948,Chensou_otousan,255 views,930.0,17617.0,Apex Predator,16253.0,Bronze 4,0AP,Pathfinder
949,Piayer0012,75 views,138.0,1007.0,Apex Predator,16246.0,Master,8230AP,Pathfinder
950,thaGxaeL,899 views,2664.0,39420.0,Apex Predator,16631.0,Bronze 4,0AP,Bangalore
951,ankiz_0,231 views,1238.0,1018.0,Apex Predator,15773.0,Bronze 4,0AP,Wraith
952,tunechi-is-turnt,3737 views,3773.0,79.0,Apex Predator,16753.0,Bronze 4,0AP,Octane
953,exsiaf_,220 views,1239.0,13619.0,Apex Predator,16229.0,Bronze 4,0AP,Wraith
954,SXN_sxnoxx,573 views,2550.0,169.0,Apex Predator,16228.0,Master,8802AP,Wraith
955,MDY_FeiJu,3249 views,916.0,32951.0,Apex Predator,16227.0,Bronze 4,0AP,Pathfinder
956,utyuzin2468,426 views,1679.0,7392.0,Apex Predator,18036.0,Bronze 4,0AP,Pathfinder
957,Tha_Sarge___,182 views,1656.0,26698.0,Apex Predator,16749.0,Platinum 2,5766AP,Pathfinder
958,L4xFPS,2538 views,2657.0,47759.0,Apex Predator,16218.0,Bronze 4,0AP,Wraith
959,OrtXI-,2218 views,1468.0,15035.0,Apex Predator,16268.0,Bronze 4,0AP,Bangalore
960,Valkyrrie__,2562 views,2335.0,13620.0,Apex Predator,16148.0,Bronze 4,0AP,Valkyrie
961,unilityy,1940 views,2229.0,76.0,Apex Predator,16176.0,Bronze 4,0AP,Pathfinder
962,LuckGuy,2787 views,2752.0,65092.0,Apex Predator,16206.0,Diamond 4,6715AP,Lifeline
963,ImCordero,1341 views,3309.0,50691.0,Apex Predator,16486.0,Bronze 4,0AP,Octane
964,LovelySumtysweet,853 views,2795.0,25888.0,Apex Predator,17050.0,Bronze 1,1540AP,Wraith
965,NielsOGee,3 views,1079.0,14854.0,Apex Predator,16198.0,Bronze 4,0AP,Loba
966,Sunztreak,1944 views,1105.0,23815.0,Apex Predator,16193.0,Bronze 4,0AP,Wraith
967,V_Hydroplane,10756 views,4175.0,85224.0,Apex Predator,16192.0,Platinum 4,4800AP,Fuse
968,Mxnuett,1465 views,4063.0,308.0,Apex Predator,16182.0,Bronze 4,0AP,Wraith
969,chxllly,421 views,2778.0,45688.0,Apex Predator,16179.0,Bronze 4,0AP,Horizon
970,Walex0tv,604 views,1589.0,32683.0,Apex Predator,16177.0,Bronze 4,0AP,Valkyrie
971,unilityy,1942 views,2229.0,76.0,Apex Predator,16176.0,Bronze 4,0AP,Pathfinder
972,Llliquid_ninja,88 views,968.0,7554.0,Apex Predator,17236.0,Bronze 4,0AP,Pathfinder
973,AyuumUUUUU,165 views,805.0,13024.0,Apex Predator,15990.0,Bronze 4,0AP,Wraith
974,solo liquetv,1190 views,3703.0,66415.0,Apex Predator,16505.0,Bronze 2,1053AP,Lifeline
975,iTsRax-ta,2124 views,1825.0,8724.0,Apex Predator,16168.0,Platinum 3,5598AP,Wraith
